ID or #		Start	End
============================
gene20		19811	20314
gene21		20233	20508
gene254		266553	266774
gene255		266776	266967
gene270		279931	280104
gene271		280114	280362
gene310		315291	315590
gene311		315587	316453
gene596		608065	609177
gene670		687997	689013
gene1235		1269703	1269810
gene1236		1269858	1269923
gene1404		1432411	1432986
gene1405		1433084	1433674
gene1436		1469241	1469293
gene1437		1467921	1468826
gene1438		1468784	1469149
gene1439		1469358	1470509
gene1840		1879007	1879255
gene1942		1978518	1979021
gene1943		1978940	1979215
gene2083		2101895	2102911
gene2128		2153644	2153779
gene2129		2153681	2153737
gene2628		2700117	2700197
gene3546		3624378	3625514
gene3635		3727407	3727748
gene3839		3941808	3943349
gene3931		4035531	4037072
gene4050		4168372	4168447
gene4051		4168641	4171544
gene4052		4171637	4171756
gene4232		4372809	4373162
gene4360		4498272	4498637
gene4361		4498595	4499500
