ID or #		Start	End
============================
gene268		279178	279681
gene269		279600	279875
gene281		290649	291152
gene282		291071	291346
gene595		607836	607988
gene670		687997	689013
gene1042		1094275	1095141
gene1043		1095138	1095437
gene2043		2070277	2070474
gene2044		2068952	2069857
gene2045		2069815	2070180
gene2144		2170236	2170535
gene2145		2170532	2171398
gene2247		2289065	2290081
gene3086		3171879	3172211
gene3103		3186187	3186552
gene3104		3186510	3187415
gene3839		3941808	3943349
gene3840		3943435	3943510
gene3841		3943704	3946607
gene3842		3946700	3946819
gene3843		3946872	3946948
gene4371		4507466	4508617
