ID or #		Start	End
============================
gene14		15445	16557
gene199		223771	225312
gene200		225381	225457
gene201		225500	225575
gene202		225759	228662
gene203		228756	228875
gene204		228928	229004
gene254		266553	266774
gene255		266776	266967
gene281		290649	291152
gene282		291071	291346
gene310		315291	315590
gene311		315587	316453
gene1235		1269703	1269810
gene1236		1269858	1269923
gene1404		1432411	1432986
gene1496		1531816	1532952
gene1580		1633072	1633305
gene1616		1650845	1651537
gene1889		1924595	1924969
gene2044		2068952	2069857
gene2045		2069815	2070180
gene3045		3130178	3131194
gene3569		3652182	3653198
gene3742		3840215	3840508
gene3931		4035531	4037072
gene3932		4037141	4037217
gene3933		4037260	4037335
gene3934		4037519	4040423
gene3935		4040517	4040636
