ID or #		Start	End
============================
gene11		11382	11786
gene20		19811	20314
gene21		20233	20508
gene27		25826	26275
gene68		77367	77593
gene69		77388	77519
gene98		111044	111433
gene153		176610	176954
gene160		183709	184095
gene169		192872	193429
gene218		239106	239378
gene225		245961	246239
gene245		263150	263212
gene246		263328	263669
gene261		272580	272654
gene289		297206	297254
gene305		312374	312514
gene306		312514	312777
gene328		334525	335022
gene385		399025	399333
gene395		406979	407170
gene455		472598	472936
gene487		507204	507287
gene506		528640	529130
gene544		566098	566376
gene545		566376	566687
gene546		566684	566776
gene546		568035	568247
gene547		566842	567141
gene548		567138	568004
gene557		573371	573733
gene558		573730	573870
gene561		574737	575753
gene563		577613	578110
gene565		578327	578509
gene569		580251	580445
gene571		581354	581662
gene591		605518	605886
gene595		607836	607988
gene645		662379	662642
gene673		691874	692341
gene692		709790	710116
gene694		710639	710725
gene714		733776	734102
gene716		735650	736219
gene749		774752	775156
gene775		794773	794922
gene797		819048	819293
gene829		852869	852997
gene841		866568	867533
gene860		887976	888054
gene879		903952	904467
gene967		1015715	1015882
gene983		1030339	1030668
gene997		1044230	1044676
gene1028		1072171	1072863
gene1037		1086106	1086519
gene1052		1101711	1102127
gene1071		1119307	1119447
gene1098		1144502	1144822
gene1101		1146589	1146757
gene1103		1147367	1147540
gene1126		1169073	1169330
gene1164		1205549	1205731
gene1170		1208517	1209119
gene1173		1210346	1211179
gene1179		1215789	1216025
gene1180		1216068	1216340
gene1181		1216369	1216635
gene1195		1227071	1227472
gene1237		1270238	1270345
gene1238		1270393	1270460
gene1240		1272119	1272349
gene1279		1314020	1314658
gene1302		1338570	1339160
gene1308		1343110	1343328
gene1312		1346796	1346900
gene1334		1369393	1369614
gene1335		1369689	1370003
gene1349		1385511	1386572
gene1387		1419156	1419311
gene1388		1419322	1419456
gene1398		1425377	1425640
gene1401		1428796	1428984
gene1407		1434958	1435008
gene1410		1437121	1437229
gene1435		1465165	1465230
gene1436		1469241	1469293
gene1438		1468784	1469149
gene1439		1469358	1470509
gene1452		1491443	1491506
gene1467		1503218	1503649
gene1472		1508834	1509064
gene1508		1546288	1547169
gene1523		1562495	1563076
gene1541		1590334	1590536
gene1572		1624105	1624497
gene1579		1652755	1652838
gene1580		1633072	1633305
gene1581		1633622	1634212
gene1584		1635840	1636367
gene1587		1637609	1637782
gene1591		1639080	1639334
gene1595		1641339	1641554
gene1665		1704949	1705164
gene1679		1718066	1718395
gene1683		1721025	1721261
gene1716		1754932	1755141
gene1740		1779617	1780381
gene1748		1789613	1789804
gene1760		1799802	1799999
gene1764		1805165	1805272
gene1769		1808697	1809233
gene1781		1821299	1821619
gene1782		1821918	1822256
gene1856		1894552	1894731
gene1882		1921780	1922016
gene1885		1923066	1923314
gene1886		1923164	1923284
gene1887		1923365	1923706
gene1889		1924595	1924969
gene1890		1925108	1925338
gene1910		1946115	1946180
gene1912		1946855	1947376
gene1914		1948180	1948632
gene1955		1989251	1989490
gene1964		1995818	1996042
gene1996		2022616	2022885
gene1999		2024635	2024823
gene2006		2029539	2030459
gene2029		2058027	2058102
gene2034		2062260	2062335
gene2055		2078549	2078677
gene2062		2084226	2084453
gene2065		2087052	2087114
gene2078		2096614	2097225
gene2102		2124523	2125746
gene2141		2167989	2168306
gene2148		2174282	2174566
gene2162		2186960	2187298
gene2182		2215657	2215764
gene2196		2230624	2231022
gene2245		2286211	2286287
gene2277		2323447	2324109
gene2306		2363733	2364275
gene2316		2373272	2373538
gene2323		2380722	2381027
gene2324		2381082	2381543
gene2331		2388635	2389057
gene2348		2408862	2409461
gene2382		2443891	2444169
gene2383		2444203	2444751
gene2406		2467855	2468217
gene2409		2470815	2471105
gene2410		2471077	2471517
gene2416		2474032	2474856
gene2438		2496921	2496992
gene2453		2514331	2515443
gene2527		2582903	2583478
gene2572		2635599	2635814
gene2577		2640686	2641804
gene2624		2697354	2697857
gene2629		2700520	2700596
gene2660		2734153	2734295
gene2665		2737599	2737646
gene2670		2741875	2742393
gene2683		2753605	2753946
gene2684		2754008	2754298
gene2687		2755593	2755955
gene2715		2783065	2783304
gene2734		2800965	2801375
gene2778		2843036	2843446
gene2780		2844210	2844752
gene2816		2879788	2880387
gene2822		2887354	2887409
gene2843		2910756	2911091
gene2871		2942696	2942901
gene2895		2970420	2971133
gene2896		2971271	2971489
gene2913		2989304	2989786
gene2914		2989819	2989899
gene2916		2990554	2991043
gene2919		2993638	2993856
gene2980		3059381	3059701
gene3003		3085920	3086051
gene3004		3086187	3086402
gene3007		3089755	3090252
gene3052		3138727	3139593
gene3054		3139977	3140318
