ID or #		Start	End
============================
gene0		190	255
gene14		15445	16557
gene15		16751	16960
gene16		16751	16903
gene17		16952	17006
gene22		20815	21078
gene23		21181	21399
gene43		45463	45750
gene68		77367	77593
gene69		77388	77519
gene119		136570	136917
gene161		184257	185069
gene175		200482	200967
gene187		213925	214125
gene189		214833	215255
gene196		220968	221621
gene202		225759	228662
gene203		228756	228875
gene204		228928	229004
gene225		245961	246239
gene240		258676	259006
gene270		279931	280104
gene271		280114	280362
gene280		290429	290633
gene281		290649	291152
gene282		291071	291346
gene289		297206	297254
gene307		313141	313242
gene310		315291	315590
gene311		315587	316453
gene314		317726	318319
gene315		318331	318567
gene337		345404	345649
gene348		358799	359458
gene372		384059	384616
gene385		399025	399333
gene395		406979	407170
gene427		441101	441343
gene439		453589	454167
gene445		461451	461723
gene465		480090	480308
gene466		480334	480708
gene479		497175	497819
gene504		527581	527949
gene529		553218	553940
gene533		556661	556873
gene539		563330	563845
gene544		566098	566376
gene553		572368	572469
gene554		572466	572921
gene560		574529	574586
gene561		574737	575753
gene565		578327	578509
gene577		586057	586101
gene583		594760	595443
gene632		650487	650783
gene641		658947	659150
gene650		668248	668715
gene670		687997	689013
gene673		691874	692341
gene678		696542	696616
gene679		696664	696740
gene683		697057	697133
gene696		711605	711898
gene705		720583	720840
gene711		728732	728821
gene719		738092	738853
gene754		779067	779588
gene819		841796	842056
gene825		848408	848911
gene838		863642	864304
gene849		878248	878631
gene894		922366	922590
gene926		963828	964112
gene931		970673	970855
gene997		1044230	1044676
gene1005		1050963	1051175
gene1006		1051461	1051673
gene1020		1066864	1067091
gene1046		1097565	1097652
gene1049		1099640	1100194
gene1057		1104961	1105293
gene1058		1105414	1105725
gene1080		1126157	1126804
gene1084		1129835	1130128
gene1167		1206913	1207497
gene1171		1209119	1209619
gene1184		1218983	1219201
gene1194		1226600	1226968
gene1195		1227071	1227472
gene1236		1269858	1269923
gene1237		1270238	1270345
gene1240		1272119	1272349
gene1261		1293527	1294144
gene1274		1310569	1310865
gene1277		1312351	1312890
gene1282		1315856	1316035
gene1288		1323038	1323082
gene1304		1340243	1340551
gene1322		1357423	1357668
gene1335		1369689	1370003
gene1351		1388305	1388811
gene1354		1390725	1390862
gene1378		1413531	1413740
gene1379		1413556	1413734
gene1380		1413733	1413927
gene1386		1418671	1419159
gene1387		1419156	1419311
gene1399		1425630	1426082
gene1456		1492119	1492174
gene1512		1552398	1552682
gene1515		1555826	1555963
gene1516		1556065	1556280
gene1528		1570645	1572045
gene1539		1588309	1588839
gene1541		1590334	1590536
gene1565		1619574	1619957
gene1566		1619989	1620207
gene1580		1633072	1633305
gene1581		1633622	1634212
gene1582		1634310	1634885
gene1585		1636756	1636989
gene1587		1637609	1637782
gene1588		1637954	1638109
gene1612		1649382	1649434
gene1613		1649609	1649797
gene1614		1649794	1649985
gene1616		1650845	1651537
gene1621		1655808	1656149
gene1624		1657565	1657870
gene1636		1671777	1671860
gene1652		1688576	1689751
gene1665		1704949	1705164
gene1683		1721025	1721261
gene1716		1754932	1755141
gene1725		1764018	1764386
gene1726		1764713	1764780
gene1727		1764934	1765122
gene1739		1778390	1779301
gene1774		1813421	1813663
gene1779		1819455	1819805
gene1814		1854991	1855971
gene1840		1879007	1879255
gene1841		1879403	1879585
gene1856		1894552	1894731
gene1869		1907448	1907591
gene1885		1923066	1923314
gene1886		1923164	1923284
gene1931		1967048	1967437
gene1983		2012502	2012663
gene2011		2033649	2033739
gene2053		2077569	2077943
gene2054		2077940	2078107
gene2062		2084226	2084453
gene2069		2089462	2089713
gene2070		2089996	2090046
gene2113		2135655	2136098
gene2118		2142307	2142948
gene2138		2167114	2167200
gene2167		2192515	2192796
gene2186		2218564	2219481
gene2243		2284129	2284356
