ID or #		Start	End
============================
gene82		88162	88512
gene509		559367	559771
gene653		712266	712655
gene654		712726	713145
gene1040		1123941	1125284
gene1185		1283178	1284509
gene1385		1524442	1524753
gene1423		1559222	1559387
gene1426		1563481	1564743
gene1431		1573850	1574902
gene1611		1763426	1764649
gene1788		1939494	1939769
gene1808		1960038	1961078
gene2023		2186929	2187366
gene2047		2220297	2220749
gene2055		2225370	2226623
gene2146		2303466	2304473
gene2171		2332999	2334225
gene2221		2382166	2383539
