ID or #		Start	End
============================
gene44		52331	53593
gene338		368836	370089
gene386		425168	425332
gene645		704294	705637
gene816		884694	884969
gene1323		1451319	1451528
gene1385		1524442	1524753
gene1398		1531199	1531275
gene1470		1615458	1615847
gene1471		1615918	1616337
gene1585		1744003	1744428
gene1611		1763426	1764649
gene1760		1905343	1905427
gene1808		1960038	1961078
gene1855		2010465	2010872
gene1964		2125047	2126270
gene2046		2218704	2219957
gene2059		2228973	2229401
gene2146		2303466	2304473
