ID or #		Start	End
============================
gene7		11344	11417
gene50		56936	57476
gene56		61913	62452
gene66		71017	71805
gene67		71883	72110
gene70		74371	74901
gene135		145286	146176
gene147		158378	158887
gene184		198418	198490
gene185		198607	198680
gene193		206143	207045
gene202		212460	213164
gene252		271800	272246
gene253		272284	272439
gene254		272526	272729
gene310		336947	337450
gene322		351474	352079
gene328		361127	361573
gene330		362825	362915
gene356		387935	388026
gene363		397864	398313
gene364		398385	398461
gene384		419927	421558
gene385		421887	424979
gene386		425168	425332
gene421		458718	459410
gene428		466572	466991
gene486		534530	535792
gene500		551502	551575
gene521		571556	572113
gene536		587895	588005
gene542		594993	595067
gene606		666704	666946
gene620		680904	681287
gene635		696031	696153
gene650		710576	710953
gene653		712266	712655
gene654		712726	713145
gene656		714376	714663
gene657		714743	715681
gene659		717153	717542
gene671		728350	728664
gene681		738131	738649
gene686		744427	744957
gene692		750905	752056
gene698		757453	757794
gene702		762282	762650
gene719		781481	781786
gene732		796753	797127
gene736		799714	799872
gene737		799904	800689
gene739		801189	801677
gene752		815438	815818
gene753		815802	816230
gene780		842992	843420
gene794		861643	861885
gene810		878808	879023
gene811		879108	879662
gene817		884992	885393
gene845		915308	915383
gene859		932091	932336
gene886		959538	959741
gene908		987823	989154
gene920		999937	1000260
gene921		1000395	1000814
gene938		1016556	1017056
gene943		1021495	1022076
gene949		1026227	1026551
gene954		1030788	1031015
gene956		1032958	1033263
gene965		1039341	1039967
gene974		1050307	1051017
gene986		1062259	1062924
gene1009		1091423	1091680
gene1014		1096404	1097051
gene1015		1097048	1097473
gene1020		1102692	1103954
gene1043		1127367	1128635
gene1044		1129140	1129385
gene1053		1138109	1138729
gene1058		1141929	1142303
gene1059		1142290	1142535
gene1060		1142604	1143074
gene1067		1152225	1152743
gene1071		1155560	1155636
gene1074		1155884	1155957
gene1100		1183377	1183461
gene1104		1188536	1188970
gene1107		1189674	1190192
gene1116		1203490	1204128
gene1134		1225904	1226155
gene1142		1236141	1236917
gene1148		1242324	1242650
gene1187		1285292	1285483
gene1209		1307288	1308058
gene1212		1311276	1312502
gene1216		1317884	1318285
gene1235		1337880	1338299
gene1253		1360079	1360966
gene1283		1399467	1399925
gene1310		1427915	1428214
gene1332		1462839	1463540
gene1341		1474202	1474414
gene1347		1481609	1482079
gene1350		1483167	1483799
gene1369		1505121	1505519
gene1385		1524442	1524753
gene1386		1524954	1525337
gene1395		1528647	1528889
gene1396		1528899	1530242
gene1422		1558163	1559170
gene1423		1559222	1559387
gene1424		1559578	1562670
gene1442		1588758	1589378
gene1445		1593131	1593538
gene1456		1601506	1601877
gene1496		1642767	1643186
gene1497		1643257	1643646
gene1513		1665496	1665777
gene1532		1687499	1688107
gene1548		1701502	1702068
gene1585		1744003	1744428
gene1592		1749813	1750643
gene1603		1756663	1758006
gene1629		1781983	1782270
gene1640		1792664	1792942
gene1651		1808429	1808725
gene1666		1823283	1823954
gene1670		1827361	1827741
gene1671		1827738	1828469
gene1689		1845133	1845246
gene1690		1845282	1845512
gene1697		1850117	1850491
gene1701		1852102	1852443
gene1712		1857481	1858131
gene1718		1863222	1863692
gene1719		1863692	1864066
gene1722		1872149	1872538
gene1728		1876087	1876159
gene1736		1883781	1884461
gene1737		1884501	1884626
gene1789		1939835	1940239
gene1796		1946112	1946381
gene1808		1960038	1961078
gene1826		1978880	1979380
gene1827		1979377	1979544
gene1854		2009922	2010323
gene1860		2015864	2016070
gene1865		2021267	2021524
gene1879		2034627	2034836
gene1888		2044336	2044743
gene1945		2105919	2106425
gene1949		2110199	2110453
gene1985		2146993	2147490
gene2053		2224353	2224475
gene2056		2227062	2227304
gene2057		2227410	2227775
gene2061		2230866	2231225
gene2091		2255184	2255534
gene2092		2255531	2255914
gene2093		2256042	2256425
gene2104		2262660	2263088
gene2107		2264340	2264711
gene2108		2264794	2265240
gene2114		2274544	2275152
gene2115		2275097	2275450
gene2134		2292154	2292567
gene2148		2305600	2306001
gene2154		2311345	2311971
gene2171		2332999	2334225
gene2187		2350167	2350433
gene2190		2352033	2352365
gene2201		2364232	2364591
gene2214		2376664	2378085
gene2222		2383644	2383904
gene2250		2408755	2408943
gene2253		2410436	2410894
gene2275		2432347	2432574
gene2281		2437770	2438330
gene2295		2451634	2451801
gene2298		2453813	2454088
gene2306		2460852	2461049
gene2315		2471159	2471689
gene2322		2476980	2477285
gene2324		2479177	2479518
