ID or #		Start	End
============================
gene48		55113	55328
gene53		59243	59386
gene58		63346	63657
gene72		76022	76327
gene81		87904	87990
gene309		335661	336914
gene386		425168	425332
gene405		444215	444577
gene415		452460	452963
gene465		510897	512159
gene527		576241	576543
gene864		935993	936065
gene865		936195	936270
gene1020		1102692	1103954
gene1040		1123941	1125284
gene1389		1526803	1526931
gene1478		1623391	1623810
gene1479		1623881	1624270
gene1603		1756663	1758006
gene1611		1763426	1764649
gene1640		1792664	1792942
gene2042		2211707	2212930
gene2055		2225370	2226623
gene2093		2256042	2256425
gene2308		2462585	2463004
gene2309		2463075	2463464
