ID or #		Start	End
============================
gene356		387935	388026
gene364		398385	398461
gene386		425168	425332
gene465		510897	512159
gene486		534530	535792
gene528		576575	577582
gene544		596681	597250
gene653		712266	712655
gene654		712726	713145
gene908		987823	989154
gene1017		1098274	1098349
gene1074		1155884	1155957
gene1213		1313182	1314435
gene1389		1526803	1526931
gene1396		1528899	1530242
gene1458		1602784	1603032
gene1470		1615458	1615847
gene1471		1615918	1616337
gene1678		1835998	1836225
gene1695		1849143	1849367
gene1727		1875755	1876006
gene1728		1876087	1876159
gene1737		1884501	1884626
gene1808		1960038	1961078
gene1841		1993479	1994822
gene1964		2125047	2126270
gene2093		2256042	2256425
gene2221		2382166	2383539
