ID or #		Start	End
============================
gene7		11344	11417
gene8		11649	11724
gene19		23099	23701
gene34		37025	37624
gene45		54057	54203
gene54		59614	59856
gene60		66272	66724
gene61		66721	66981
gene79		86185	86745
gene121		131259	131810
gene124		135421	136041
gene184		198418	198490
gene185		198607	198680
gene186		198753	198828
gene188		199543	199809
gene196		208903	209349
gene210		223131	223574
gene213		225846	226091
gene217		229574	229966
gene277		301780	302562
gene302		329044	329367
gene312		339227	340489
gene330		362825	362915
gene340		371273	371575
gene345		375080	375691
gene350		379880	380353
gene361		396583	396670
gene375		406953	407435
gene402		441361	441437
gene421		458718	459410
gene422		459411	459487
gene432		470474	471043
gene438		476975	477421
gene445		484834	485271
gene458		502776	503663
gene509		559367	559771
gene514		564174	564677
gene542		594993	595067
gene575		632966	633559
gene594		654580	655062
gene596		655788	656084
gene635		696031	696153
gene642		701262	701567
gene645		704294	705637
gene648		709082	709462
gene653		712266	712655
gene654		712726	713145
gene671		728350	728664
gene675		732144	732701
gene682		738708	739355
gene686		744427	744957
gene726		787905	788540
gene736		799714	799872
gene778		841262	841708
gene794		861643	861885
gene827		894387	894848
gene843		914590	914670
gene844		914736	915224
gene848		917935	918093
gene863		935866	935940
gene864		935993	936065
gene865		936195	936270
gene877		950229	950681
gene886		959538	959741
gene896		971427	972050
gene908		987823	989154
gene916		997343	997696
gene936		1015502	1015846
gene962		1037488	1037760
gene964		1039170	1039245
gene983		1059855	1059928
gene989		1065163	1065498
gene1005		1086035	1086457
gene1009		1091423	1091680
gene1017		1098274	1098349
gene1038		1122186	1122491
gene1045		1129397	1129864
gene1056		1140717	1140983
gene1072		1155665	1155736
gene1073		1155795	1155865
gene1074		1155884	1155957
gene1081		1162113	1163246
gene1085		1165748	1166011
gene1088		1167775	1168155
gene1090		1169702	1170307
gene1116		1203490	1204128
gene1122		1211408	1212331
gene1134		1225904	1226155
gene1144		1238085	1238714
gene1160		1252531	1252788
gene1172		1270730	1270816
gene1184		1282604	1283080
gene1185		1283178	1284509
gene1240		1342794	1343813
gene1251		1358904	1359554
gene1259		1368439	1369047
gene1271		1383215	1383841
gene1308		1426753	1427235
gene1349		1482863	1483159
gene1354		1487027	1487701
gene1379		1519914	1520429
gene1384		1523812	1524333
gene1385		1524442	1524753
gene1386		1524954	1525337
gene1422		1558163	1559170
gene1423		1559222	1559387
gene1424		1559578	1562670
gene1426		1563481	1564743
gene1445		1593131	1593538
gene1451		1597927	1598199
gene1456		1601506	1601877
gene1458		1602784	1603032
gene1475		1620591	1620980
gene1478		1623391	1623810
gene1479		1623881	1624270
gene1480		1624346	1625035
gene1500		1646467	1647135
gene1508		1659698	1660384
gene1587		1744959	1745447
gene1595		1752340	1752822
gene1611		1763426	1764649
gene1617		1769538	1770029
gene1623		1774551	1774955
gene1683		1840339	1840782
gene1687		1844002	1844406
gene1701		1852102	1852443
gene1714		1858786	1859247
gene1715		1859250	1859390
gene1753		1896584	1897213
gene1760		1905343	1905427
gene1763		1906867	1907898
gene1767		1911014	1911511
gene1821		1973855	1974040
gene1832		1984156	1984875
gene1839		1991730	1992140
gene1855		2010465	2010872
gene1880		2034985	2035551
gene1889		2044740	2045078
gene1909		2067469	2068098
gene1911		2069024	2069719
gene1932		2089730	2089906
gene1959		2120575	2120928
gene1964		2125047	2126270
gene2003		2166541	2166870
gene2030		2195183	2195599
gene2041		2210729	2211256
gene2044		2214885	2215451
gene2061		2230866	2231225
gene2064		2233432	2233821
gene2084		2251262	2251585
gene2086		2251871	2252284
gene2089		2253376	2254818
gene2092		2255531	2255914
gene2093		2256042	2256425
gene2125		2283069	2283551
gene2130		2288197	2288964
gene2134		2292154	2292567
gene2259		2416485	2416601
gene2260		2416739	2417098
gene2261		2417245	2418165
gene2291		2448875	2449237
gene2302		2458633	2459169
gene2315		2471159	2471689
gene2321		2476245	2476847
gene2324		2479177	2479518
gene2342		2500077	2500445
gene2344		2500873	2501010
