ID or #		Start	End
============================
gene29		31066	32319
gene41		47076	48329
gene44		52331	53593
gene49		55438	56880
gene53		59243	59386
gene198		210046	210420
gene199		210537	210944
gene525		575047	575577
gene659		717153	717542
gene681		738131	738649
gene761		822869	823384
gene964		1039170	1039245
gene1009		1091423	1091680
gene1040		1123941	1125284
gene1160		1252531	1252788
gene1335		1465455	1465955
gene1385		1524442	1524753
gene1422		1558163	1559170
gene1423		1559222	1559387
gene1478		1623391	1623810
gene1479		1623881	1624270
gene1611		1763426	1764649
gene2065		2233821	2235101
gene2221		2382166	2383539
