ID or #		Start	End
============================
gene18		22679	23017
gene25		28402	28836
gene27		29648	30592
gene45		54057	54203
gene46		54270	54449
gene48		55113	55328
gene60		66272	66724
gene61		66721	66981
gene82		88162	88512
gene129		138514	139026
gene184		198418	198490
gene185		198607	198680
gene186		198753	198828
gene187		198921	199535
gene188		199543	199809
gene201		212128	212496
gene203		213248	214144
gene213		225846	226091
gene223		236809	237348
gene267		290924	291023
gene268		291178	291263
gene290		316951	317415
gene301		328793	329047
gene312		339227	340489
gene330		362825	362915
gene384		419927	421558
gene400		438965	439041
gene402		441361	441437
gene412		451598	451861
gene414		452073	452456
gene422		459411	459487
gene423		459540	460208
gene479		527307	527834
gene500		551502	551575
gene521		571556	572113
gene525		575047	575577
gene528		576575	577582
gene535		586873	587826
gene542		594993	595067
gene568		624777	625490
gene570		627037	627594
gene601		661356	662006
gene605		665959	666651
gene612		672367	672756
gene640		700031	700330
gene645		704294	705637
gene648		709082	709462
gene650		710576	710953
gene668		725775	725851
gene671		728350	728664
gene676		732727	733563
gene698		757453	757794
gene700		760860	761306
gene720		781885	782103
gene751		815181	815387
gene754		816230	816688
gene760		822075	822740
gene778		841262	841708
gene795		861889	862707
gene816		884694	884969
gene817		884992	885393
gene831		897385	898152
gene843		914590	914670
gene863		935866	935940
gene864		935993	936065
gene865		936195	936270
gene877		950229	950681
gene886		959538	959741
gene887		959815	960477
gene916		997343	997696
gene927		1006910	1007155
gene948		1025875	1026189
gene981		1058728	1058801
gene989		1065163	1065498
gene1008		1091066	1091371
gene1013		1096108	1096329
gene1021		1104560	1104853
gene1026		1108863	1108938
gene1028		1110356	1111048
gene1038		1122186	1122491
gene1041		1125418	1126686
gene1059		1142290	1142535
gene1066		1151588	1152199
gene1071		1155560	1155636
gene1074		1155884	1155957
gene1079		1160419	1161090
gene1106		1189265	1189642
gene1134		1225904	1226155
gene1158		1250741	1251586
gene1172		1270730	1270816
gene1185		1283178	1284509
gene1187		1285292	1285483
gene1192		1290581	1290838
gene1197		1296779	1297126
gene1224		1326103	1326966
gene1229		1332197	1332670
gene1290		1406862	1407377
gene1313		1431119	1431787
gene1323		1451319	1451528
gene1335		1465455	1465955
gene1347		1481609	1482079
gene1348		1482136	1482723
gene1382		1521705	1522091
gene1395		1528647	1528889
gene1396		1528899	1530242
gene1398		1531199	1531275
gene1399		1531652	1532131
gene1423		1559222	1559387
gene1431		1573850	1574902
gene1433		1576247	1576735
gene1462		1607034	1607258
gene1489		1633421	1633840
gene1490		1633911	1634300
gene1507		1659243	1659653
gene1514		1665805	1666641
gene1566		1722341	1723513
gene1586		1744428	1744847
gene1587		1744959	1745447
gene1608		1761948	1762319
gene1630		1782391	1782975
gene1666		1823283	1823954
gene1667		1823965	1824588
gene1682		1839809	1840297
gene1683		1840339	1840782
gene1689		1845133	1845246
gene1695		1849143	1849367
gene1699		1851055	1851453
gene1706		1854127	1854945
gene1711		1856841	1857476
gene1715		1859250	1859390
gene1718		1863222	1863692
gene1725		1874259	1874690
gene1737		1884501	1884626
gene1750		1893786	1893859
gene1751		1893920	1893991
gene1758		1902867	1903331
gene1761		1905636	1906124
gene1789		1939835	1940239
gene1834		1986113	1986442
gene1836		1988815	1989498
gene1859		2014923	2015867
gene1879		2034627	2034836
gene1888		2044336	2044743
gene1897		2054647	2055126
gene1899		2056481	2056554
gene1911		2069024	2069719
gene1944		2105221	2105922
gene1948		2109683	2110072
gene1954		2115643	2115852
gene1958		2120127	2120540
gene1964		2125047	2126270
gene1969		2131436	2131681
gene1974		2137200	2137272
gene1975		2137307	2137717
gene2016		2180329	2181114
gene2028		2193052	2193663
gene2042		2211707	2212930
gene2044		2214885	2215451
gene2062		2231222	2231824
gene2064		2233432	2233821
gene2065		2233821	2235101
gene2091		2255184	2255534
gene2093		2256042	2256425
gene2104		2262660	2263088
gene2107		2264340	2264711
gene2115		2275097	2275450
gene2128		2286205	2286507
gene2132		2289425	2289643
gene2146		2303466	2304473
gene2172		2334505	2334717
gene2175		2337586	2337993
gene2176		2338064	2338483
gene2180		2341197	2341805
gene2186		2349127	2349819
gene2187		2350167	2350433
gene2253		2410436	2410894
gene2257		2414148	2414732
gene2273		2430025	2430879
gene2278		2435468	2435755
gene2297		2453228	2453677
gene2303		2459231	2459491
gene2329		2484684	2484983
