ID or #		Start	End
============================
gene240		257829	257899
gene268		279178	279681
gene269		279600	279875
gene379		391739	392605
gene380		392602	392901
gene561		574737	575753
gene565		578327	578509
gene570		580834	581379
gene596		608065	609177
gene1237		1270238	1270345
gene1238		1270393	1270460
gene1436		1469241	1469293
gene1437		1467921	1468826
gene1438		1468784	1469149
gene1439		1469358	1470509
gene1581		1633622	1634212
gene1582		1634310	1634885
gene1584		1635840	1636367
gene1585		1636756	1636989
gene1616		1650845	1651537
gene1941		1977847	1978197
gene2447		2507916	2508242
gene2655		2726069	2726188
gene2656		2726281	2729184
gene3546		3624378	3625514
gene3625		3720448	3720632
gene3626		3720448	3720600
gene3839		3941808	3943349
gene4371		4507466	4508617
