ID or #		Start	End
============================
gene254		266553	266774
gene255		266776	266967
gene281		290649	291152
gene282		291071	291346
gene369		381351	381716
gene370		381674	382579
gene379		391739	392605
gene380		392602	392901
gene561		574737	575753
gene595		607836	607988
gene596		608065	609177
gene1003		1049833	1050108
gene1004		1050027	1050530
gene1042		1094275	1095141
gene1043		1095138	1095437
gene1233		1269168	1269275
gene1234		1269323	1269389
gene1237		1270238	1270345
gene1238		1270393	1270460
gene1406		1433991	1434224
gene1496		1531816	1532952
gene1582		1634310	1634885
gene1584		1635840	1636367
gene2044		2068952	2069857
gene2045		2069815	2070180
gene2475		2533764	2534021
gene3546		3624378	3625514
gene3934		4037519	4040423
gene3935		4040517	4040636
gene4049		4166659	4168200
gene4050		4168372	4168447
gene4051		4168641	4171544
gene4052		4171637	4171756
gene4371		4507466	4508617
gene4445		4588876	4589079
