ID or #		Start	End
============================
gene14		15445	16557
gene34		34781	35371
gene137		155461	156201
gene165		189712	189847
gene169		192872	193429
gene194		219591	219995
gene202		225759	228662
gene203		228756	228875
gene204		228928	229004
gene214		236931	237007
gene226		246242	246502
gene232		252005	252298
gene240		257829	257899
gene248		264026	264247
gene261		272580	272654
gene291		297714	297791
gene304		312112	312339
gene305		312374	312514
gene307		313141	313242
gene315		318331	318567
gene318		321608	322327
gene337		345404	345649
gene339		346484	346759
gene349		359489	359959
gene381		394506	395129
gene386		399593	399805
gene397		408177	408461
gene398		408609	408950
gene418		433002	433451
gene440		454472	454789
gene455		472598	472936
gene501		519733	520419
gene543		565858	566079
gene544		566098	566376
gene546		566684	566776
gene547		566842	567141
gene548		567138	568004
gene553		572368	572469
gene556		573084	573374
gene557		573371	573733
gene558		573730	573870
gene560		574529	574586
gene561		574737	575753
gene565		578327	578509
gene570		580834	581379
gene632		650487	650783
gene651		668719	669036
gene694		710639	710725
gene700		715412	715906
gene702		716721	716870
gene711		728732	728821
gene714		733776	734102
gene718		736825	737961
gene751		775849	776277
gene756		780554	780629
gene762		781577	781652
gene786		807433	807909
gene827		850450	850965
gene829		852869	852997
gene864		890913	891200
gene894		922366	922590
gene898		926225	926443
gene967		1015715	1015882
gene994		1040445	1040537
gene1015		1061799	1062398
gene1020		1066864	1067091
gene1027		1071773	1072159
gene1042		1094275	1095141
gene1043		1095138	1095437
gene1073		1120701	1120955
gene1080		1126157	1126804
gene1160		1203268	1203825
gene1174		1211413	1211577
gene1176		1212703	1213107
gene1180		1216068	1216340
gene1189		1223264	1223449
gene1190		1223564	1223907
gene1221		1257929	1258513
gene1237		1270238	1270345
gene1238		1270393	1270460
gene1261		1293527	1294144
gene1272		1308788	1308961
gene1282		1315856	1316035
gene1299		1335124	1335288
gene1300		1335291	1335458
gene1304		1340243	1340551
gene1310		1344436	1344609
gene1332		1368801	1369025
gene1354		1390725	1390862
gene1363		1398774	1399526
gene1369		1405656	1405751
gene1370		1405979	1406542
gene1383		1417488	1417763
gene1384		1417838	1418008
gene1385		1418008	1418229
gene1389		1419765	1420241
gene1391		1420684	1421106
gene1401		1427389	1427598
gene1410		1437121	1437229
gene1423		1454868	1455155
gene1435		1465165	1465230
gene1436		1469241	1469293
gene1437		1467921	1468826
gene1438		1468784	1469149
gene1439		1469358	1470509
gene1461		1498651	1498875
gene1464		1500573	1501565
gene1485		1518328	1518846
gene1492		1526940	1527152
gene1516		1556065	1556280
gene1543		1592176	1592442
gene1566		1619989	1620207
gene1580		1633072	1633305
gene1581		1633622	1634212
gene1591		1639080	1639334
gene1620		1655347	1655673
gene1621		1655808	1656149
gene1638		1672820	1673149
gene1647		1682159	1682878
gene1664		1704551	1704676
gene1681		1719876	1720343
gene1708		1746700	1747005
gene1711		1749563	1750348
gene1728		1765222	1765632
gene1753		1793558	1794109
gene1808		1848125	1848676
gene1820		1861702	1861974
gene1833		1874755	1875576
gene1835		1876909	1877256
gene1851		1889951	1890532
gene1869		1907448	1907591
gene1870		1908261	1908548
gene1871		1908623	1908766
gene1942		1978518	1979021
gene1943		1978940	1979215
gene1950		1986925	1987428
gene1951		1987507	1987758
gene1955		1989251	1989490
gene1975		2005713	2006078
gene1999		2024635	2024823
gene2000		2024986	2025213
gene2001		2025227	2025313
gene2004		2028188	2028370
gene2023		2044549	2044624
